ID_Unique,Owner_code,Vis_NIR_SWIR_availability,MIR_availability,Sampling,Depth_cm,Lat,Long,Region,Municipality,State,Vegetation,Bioma,Geology,Sand_gkg,Clay_gkg,SOM_gkg,pH_H2O,Ca_mmolkg,Mg_mmolkg,Na_mmolkg,CEC_Ph7_mmolkg,,,,
2633,RMCO,YES,NO,Profile,0-20,-20.178889,-51.001944,Southeast,Rubineia  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,,,7.74,,,,,,,,,
2642,RMCO,YES,NO,Profile,0-20,-20.178889,-51.001944,Southeast,Rubineia  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,873,72,19.78,,,,,,,,,
2651,RMCO,YES,NO,Profile,0-20,-20.440833,-50.822778,Southeast,Marinopolis  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,881,78,12.04,,,,,,,,,
2686,RMCO,YES,NO,,0-20,-23.116944,-46.55,Southeast,Atibaia  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,563,283,53.15,,,,,,,,,
2687,RMCO,YES,NO,,0-20,-23.116944,-46.55,Southeast,Atibaia  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,480,351,18.58,,,,,,,,,
2688,RMCO,YES,NO,,0-20,-23.116944,-46.55,Southeast,Atibaia  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,777,62,7.05,,,,,,,,,
2689,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,206,683,,,,,,,,,,
2690,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,215,657,,,,,,,,,,
2691,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,202,626,,,,,,,,,,
2692,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,227,634,,,,,,,,,,
2693,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,232,600,,,,,,,,,,
2694,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,267,491,,,,,,,,,,
2695,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,480,479,,,,,,,,,,
2696,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,392,568,,,,,,,,,,
2697,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,71,484,,,,,,,,,,
2698,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,260,395,,,,,,,,,,
2699,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,210,524,,,,,,,,,,
2700,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,200,555,,,,,,,,,,
2701,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,195,570,,,,,,,,,,
2702,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,230,505,,,,,,,,,,
2703,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,287,395,,,,,,,,,,
2704,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,219,600,,,,,,,,,,
2705,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,214,606,,,,,,,,,,
2706,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,235,571,,,,,,,,,,
2707,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,223,582,,,,,,,,,,
2708,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,234,546,,,,,,,,,,
2709,RMCO,YES,NO,,0-20,-21.177778,-47.81,Southeast,Ribeir?o Preto  SP,Sao Paulo,Areas of Ecological Tension,Cerrado,Igneous Rock,229,498,,,,,,,,,,
2710,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,565,275,22.7,,,,,,,,,
2711,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,410,490,23.05,,,,,,,,,
2712,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,435,460,22.36,,,,,,,,,
2713,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,485,420,14.45,,,,,,,,,
2714,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,455,420,8.26,,,,,,,,,
2715,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,470,410,7.266666666666667,,,,,,,,,
2716,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,655,175,25.63,,,,,,,,,
2717,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,545,225,18.58,,,,,,,,,
2718,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,570,235,13.07,,,,,,,,,
2719,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,555,255,8.94,,,,,,,,,
2720,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,540,295,6.54,,,,,,,,,
2721,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,565,130,6.488888888888889,,,,,,,,,
2722,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,545,225,41.62,,,,,,,,,
2723,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,515,265,14.1,,,,,,,,,
2724,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,470,320,8.6,,,,,,,,,
2725,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,465,310,16.066666666666666,,,,,,,,,
2726,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,590,220,28.38,,,,,,,,,
2727,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,550,260,12.21,,,,,,,,,
2728,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,500,305,11.87,,,,,,,,,
2729,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,425,420,9.12,,,,,,,,,
2730,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,475,340,5.85,,,,,,,,,
2731,RMCO,YES,NO,,0-20,-22.681944,-46.680833,Southeast,Monte Alegre do Sul  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Metamorphic Rock,640,165,6.488888888888889,,,,,,,,,
2732,RMCO,YES,NO,,0-20,-22.730833,-45.125,Southeast,Lorena  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,650,290,,,,,,,,,,
2733,RMCO,YES,NO,,0-20,-22.730833,-45.125,Southeast,Lorena  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,600,345,,,,,,,,,,
2734,RMCO,YES,NO,,0-20,-22.730833,-45.125,Southeast,Lorena  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,515,440,,,,,,,,,,
2735,RMCO,YES,NO,,0-20,-22.730833,-45.125,Southeast,Lorena  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,455,525,,,,,,,,,,
2736,RMCO,YES,NO,,0-20,-22.730833,-45.125,Southeast,Lorena  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,435,525,,,,,,,,,,
2737,RMCO,YES,NO,,0-20,-23.116944,-46.55,Southeast,Atibaia  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,665,235,,,,,,,,,,
2738,RMCO,YES,NO,,0-20,-23.116944,-46.55,Southeast,Atibaia  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,680,185,,,,,,,,,,
2739,RMCO,YES,NO,,0-20,-23.116944,-46.55,Southeast,Atibaia  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,550,360,,,,,,,,,,
2740,RMCO,YES,NO,,0-20,-23.116944,-46.55,Southeast,Atibaia  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,475,440,,,,,,,,,,
2741,RMCO,YES,NO,,0-20,-23.116944,-46.55,Southeast,Atibaia  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,425,465,,,,,,,,,,
2742,RMCO,YES,NO,,0-20,-23.116944,-46.55,Southeast,Atibaia  SP,Sao Paulo,Dense Ombrophylous Forest,Mata Atlantica,Igneous Rock,395,525,,,,,,,,,,
2743,RMCO,YES,NO,,0-20,-22.730833,-45.125,Southeast,Lorena  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,445,450,,,,,,,,,,
2744,RMCO,YES,NO,,0-20,-22.730833,-45.125,Southeast,Lorena  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,415,495,,,,,,,,,,
2745,RMCO,YES,NO,,0-20,-22.730833,-45.125,Southeast,Lorena  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,441,460,,,,,,,,,,
2746,RMCO,YES,NO,,0-20,-22.730833,-45.125,Southeast,Lorena  SP,Sao Paulo,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,415,505,,,,,,,,,,
